Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
Ambaganctg,2008,2,24,0,10.2,68,22.8
Ambaganctg,2008,2,25,0,4,79,22.4
Ambaganctg,2008,2,26,0,8.1,77,23.4
Ambaganctg,2008,2,27,0,8.7,62,23.6
Ambaganctg,2008,2,28,0,9.6,52,22.5
Ambaganctg,2008,2,29,0,10,63,23.8
Ambaganctg,2008,3,1,0,7.6,78,23
Ambaganctg,2008,3,2,0,8.1,84,23.8
Ambaganctg,2008,3,3,0,6.9,85,24.2
Ambaganctg,2008,3,4,0,8.4,76,24.4
Ambaganctg,2008,3,5,0,7.3,69,23.8
Ambaganctg,2008,3,6,0,8.7,76,24
Ambaganctg,2008,3,7,0,7.6,80,25.2
Ambaganctg,2008,3,8,0,7.6,80,25.5
Ambaganctg,2008,3,9,0,7.5,81,25.9
Ambaganctg,2008,3,10,0,7.7,78,26.2
Ambaganctg,2008,3,11,0,4.8,86,26
Ambaganctg,2008,3,12,0,4.8,75,25.7
Ambaganctg,2008,3,13,0,7.7,82,25.9
Ambaganctg,2008,3,14,0,5.4,86,26.6
Ambaganctg,2008,3,15,0,2.2,86,27.1
Ambaganctg,2008,3,16,0,7.6,67,28.4
Ambaganctg,2008,3,17,0,7,78,27.1
Ambaganctg,2008,3,18,0,8.4,83,26.5
Ambaganctg,2008,3,19,0,8.1,79,27
Ambaganctg,2008,3,20,0,3,76,25.6
Ambaganctg,2008,3,21,13,5.8,84,26.7
Ambaganctg,2008,3,22,0,8.6,80,27.6
Ambaganctg,2008,3,23,0,2.3,84,26.1
Ambaganctg,2008,3,24,1,0.2,81,26.8
Ambaganctg,2008,3,25,0,8.7,69,28.3
Ambaganctg,2008,3,26,0,9.5,76,27.6
Ambaganctg,2008,3,27,0,9.7,80,28
Ambaganctg,2008,3,28,0,9.7,80,28.3
Ambaganctg,2008,3,29,0,6.2,81,28
Ambaganctg,2008,3,30,0,7.2,77,28.4
Ambaganctg,2008,3,31,0,9.2,78,28.3
Ambaganctg,2008,4,1,0,7.4,72,26.6
Ambaganctg,2008,4,2,0,9.7,72,27.2
Ambaganctg,2008,4,3,0,8.8,78,26.7
Ambaganctg,2008,4,4,0,5.2,74,25.1
Ambaganctg,2008,4,5,1,8.4,62,27.9
Ambaganctg,2008,4,6,0,9.9,58,28.9
Ambaganctg,2008,4,7,0,10.3,58,29
Ambaganctg,2008,4,8,0,10.4,52,28.4
Ambaganctg,2008,4,9,0,8.5,54,28
Ambaganctg,2008,4,10,0,8.6,66,28.1
Ambaganctg,2008,4,11,0,1.7,73,28.5
Ambaganctg,2008,4,12,0,9.6,74,28.8
Ambaganctg,2008,4,13,0,6.3,82,28.6
Ambaganctg,2008,4,14,0,6.4,79,29.3
Ambaganctg,2008,4,15,0,8.1,78,28.8
Ambaganctg,2008,4,16,0,9.4,79,29
Ambaganctg,2008,4,17,0,9.5,79,29.7
Ambaganctg,2008,4,18,0,8.5,79,30
Ambaganctg,2008,4,19,0,7.3,84,29.7
Ambaganctg,2008,4,20,0,9.1,84,29.9
Ambaganctg,2008,4,21,0,9.7,83,29.8
Ambaganctg,2008,4,22,0,10,81,30.6
Ambaganctg,2008,4,23,0,8.3,86,29.6
Ambaganctg,2008,4,24,0,10.2,77,29.9
Ambaganctg,2008,4,25,0,10.4,79,29.5
Ambaganctg,2008,4,26,0,10.7,81,28.9
Ambaganctg,2008,4,27,0,8.1,79,29.4
Ambaganctg,2008,4,28,0,9.7,76,30
Ambaganctg,2008,4,29,0,10.4,77,30.6
Ambaganctg,2008,4,30,0,10.4,76,30.9
Ambaganctg,2008,5,1,0,8.7,77,30.9
Ambaganctg,2008,5,2,0,9.9,76,30.3
Ambaganctg,2008,5,3,0,9.3,79,30.6
Ambaganctg,2008,5,4,13,3.2,72,29.5
Ambaganctg,2008,5,5,5,1.9,79,28.4
Ambaganctg,2008,5,6,85,7.7,77,28.7
Ambaganctg,2008,5,7,0,10.1,76,29.9
Ambaganctg,2008,5,8,0,10,76,30.6
Ambaganctg,2008,5,9,0,10.9,79,30
Ambaganctg,2008,5,10,0,8.3,76,29.9
Ambaganctg,2008,5,11,0,10.5,74,31.2
Ambaganctg,2008,5,12,0,10.9,71,30.6
Ambaganctg,2008,5,13,0,7.2,75,29.8
Ambaganctg,2008,5,14,11,3,78,29.2
Ambaganctg,2008,5,15,0,3.5,78,28.5
Ambaganctg,2008,5,16,0,7.18,85,28
Ambaganctg,2008,5,17,2,1.3,88,25.9
Ambaganctg,2008,5,18,10,6.4,81,28.1
Ambaganctg,2008,5,19,57,7.3,74,28
Ambaganctg,2008,5,20,26,4.8,76,27.7
Ambaganctg,2008,5,21,0,10.4,79,29.3
Ambaganctg,2008,5,22,0,11.3,81,29.9
Ambaganctg,2008,5,23,0,6.2,80,29.3
Ambaganctg,2008,5,24,0,8.1,76,29.9
Ambaganctg,2008,5,25,0,10.6,85,27.9
Ambaganctg,2008,5,26,2,4.4,82,29
Ambaganctg,2008,5,27,0,2.6,82,28.4
Ambaganctg,2008,5,28,4,7.18,81,27.7
Ambaganctg,2008,5,29,0,10,80,30
Ambaganctg,2008,5,30,23,1.6,83,29.7
Ambaganctg,2008,5,31,34,8.1,77,28.5
Ambaganctg,2008,6,1,0,11.2,75,29.6
Ambaganctg,2008,6,2,0,7.7,80,28.7
Ambaganctg,2008,6,3,1,6.6,84,28.6
Ambaganctg,2008,6,4,0,6.7,85,28.7
Ambaganctg,2008,6,5,14,0,91,26.6
Ambaganctg,2008,6,6,39,4.2,79,28.7
Ambaganctg,2008,6,7,0,2.8,76,29.2
Ambaganctg,2008,6,8,0,5.3,78,28.8
Ambaganctg,2008,6,9,5,0.6,82,28.2
Ambaganctg,2008,6,10,6,2.3,80,28.7
Ambaganctg,2008,6,11,0,4.1,81,28.9
Ambaganctg,2008,6,12,4,2,81,29.2
Ambaganctg,2008,6,13,1,7.3,81,29.9
Ambaganctg,2008,6,14,0,5.8,78,30.3
Ambaganctg,2008,6,15,4,7.7,74,30.5
Ambaganctg,2008,6,16,0,0,91,26.8
Ambaganctg,2008,6,17,195,0,97,25.3
Ambaganctg,2008,6,18,204,0,94,25.7
Ambaganctg,2008,6,19,23,0.5,93,26.3
Ambaganctg,2008,6,20,17,0.1,82,27.8
Ambaganctg,2008,6,21,1,2,90,27.5
Ambaganctg,2008,6,22,42,1.6,83,29
Ambaganctg,2008,6,23,0,6.1,81,28.9
Ambaganctg,2008,6,24,0,10.1,78,29.6
Ambaganctg,2008,6,25,0,9.9,78,29.5
Ambaganctg,2008,6,26,0,2.3,87,28.1
Ambaganctg,2008,6,27,12,6.9,82,29.1
Ambaganctg,2008,6,28,0,0,85,28.4
Ambaganctg,2008,6,29,26,0,95,26.6
Ambaganctg,2008,6,30,24,0,97,25.8
Ambaganctg,2008,7,1,82,0,98,25.6
Ambaganctg,2008,7,2,84,0.2,98,25.7
Ambaganctg,2008,7,3,55,0,99,25.7
Ambaganctg,2008,7,4,135,0.7,95,26.6
Ambaganctg,2008,7,5,28,0,95,26.1
Ambaganctg,2008,7,6,38,0,95,25.9
Ambaganctg,2008,7,7,69,2,90,26.5
Ambaganctg,2008,7,8,20,5.6,83,27.9
Ambaganctg,2008,7,9,10,9.1,80,28.5
Ambaganctg,2008,7,10,14,6,81,28.3
Ambaganctg,2008,7,11,14,1.1,86,27.3
Ambaganctg,2008,7,12,3,0,84,27.9
Ambaganctg,2008,7,13,24,0,98,26.1
Ambaganctg,2008,7,14,228,0,97,25.8
Ambaganctg,2008,7,15,47,0.5,93,25.6
Ambaganctg,2008,7,16,13,1.5,93,26.6
Ambaganctg,2008,7,17,25,1.7,88,27.4
Ambaganctg,2008,7,18,8,2.8,87,27.8
Ambaganctg,2008,7,19,3,0.6,87,27.3
Ambaganctg,2008,7,20,18,3.3,83,28.3
Ambaganctg,2008,7,21,0,10.4,84,28.8
Ambaganctg,2008,7,22,0,9.7,81,29.1
Ambaganctg,2008,7,23,0,11.6,82,28.8
Ambaganctg,2008,7,24,6,9.9,84,29.1
Ambaganctg,2008,7,25,7,5.7,83,28.8
Ambaganctg,2008,7,26,1,8.2,85,28.5
Ambaganctg,2008,7,27,9,4.1,82,29.1
Ambaganctg,2008,7,28,16,8.4,79,28.7
Ambaganctg,2008,7,29,0,8.6,78,28.9
Ambaganctg,2008,7,30,1,8.7,78,28.8
Ambaganctg,2008,7,31,4,5.7,82,28.8
Ambaganctg,2008,8,1,0,9.7,80,29.3
Ambaganctg,2008,8,2,0,6.9,80,29.4
Ambaganctg,2008,8,3,0,1.6,79,28.8
Ambaganctg,2008,8,4,0,6.8,82,28.4
Ambaganctg,2008,8,5,2,6.2,83,28.1
Ambaganctg,2008,8,6,0,6.6,82,28.5
Ambaganctg,2008,8,7,0,10.6,82,29.4
Ambaganctg,2008,8,8,2,6.3,85,29.1
Ambaganctg,2008,8,9,15,5.1,83,28.2
Ambaganctg,2008,8,10,5,2.2,85,28
Ambaganctg,2008,8,11,11,0,97,26.3
Ambaganctg,2008,8,12,106,1.9,88,27.9
Ambaganctg,2008,8,13,0,0,91,26.9
Ambaganctg,2008,8,14,8,7.1,84,28
Ambaganctg,2008,8,15,31,2.8,87,27.4
Ambaganctg,2008,8,16,2,6.1,88,27.5
Ambaganctg,2008,8,17,38,0,96,25.7
Ambaganctg,2008,8,18,104,0,97,25.7
Ambaganctg,2008,8,19,129,3.5,91,26.7
Ambaganctg,2008,8,20,11,9,83,27.9
Ambaganctg,2008,8,21,2,9.9,81,28.4
Ambaganctg,2008,8,22,2,6.7,81,28.5
Ambaganctg,2008,8,23,4,9.7,80,29
Ambaganctg,2008,8,24,2,7,80,28.9
Ambaganctg,2008,8,25,0,1.6,87,27.5
Ambaganctg,2008,8,26,5,7.8,80,28.9
Ambaganctg,2008,8,27,0,1.5,92,26.8
Ambaganctg,2008,8,28,55,0,96,26
Ambaganctg,2008,8,29,197,0.9,96,26.1
Ambaganctg,2008,8,30,76,0,91,26.8
Ambaganctg,2008,8,31,76,0,91,26.8
Ambaganctg,2008,9,1,0,9.1,85,29.1
Ambaganctg,2008,9,2,0,5.4,84,28.5
Ambaganctg,2008,9,3,15,1.4,87,27.3
Ambaganctg,2008,9,4,6,0,92,26
Ambaganctg,2008,9,5,32,0,95,25.1
Ambaganctg,2008,9,6,23,8,83,28.3
Ambaganctg,2008,9,7,0,9.5,82,29.1
Ambaganctg,2008,9,8,0,6.7,84,28.6
Ambaganctg,2008,9,9,0,7,78,29.5
Ambaganctg,2008,9,10,0,8.6,85,28.7
Ambaganctg,2008,9,11,9,3.5,84,29.1
Ambaganctg,2008,9,12,23,10.3,83,29
Ambaganctg,2008,9,13,2,4.3,86,28.7
Ambaganctg,2008,9,14,0,5.5,85,29.1
Ambaganctg,2008,9,15,1,7.6,81,29
Ambaganctg,2008,9,16,14,3.1,77,28.4
Ambaganctg,2008,9,17,0,4.9,80,28.3
Ambaganctg,2008,9,18,5,10.2,79,29.2
Ambaganctg,2008,9,19,0,10.3,82,29.5
Ambaganctg,2008,9,20,5,5.8,91,28.3
Ambaganctg,2008,9,21,13,3.1,88,28.1
Ambaganctg,2008,9,22,4,4.2,88,27.3
Ambaganctg,2008,9,23,31,4.8,86,27.7
Ambaganctg,2008,9,24,15,9.7,84,28.2
Ambaganctg,2008,9,25,7,8.2,82,28.9
Ambaganctg,2008,9,26,0,2.3,84,27.7
Ambaganctg,2008,9,27,1,0.2,93,26.3
Ambaganctg,2008,9,28,40,0.3,91,26.3
Ambaganctg,2008,9,29,0,4.7,84,28.4
Ambaganctg,2008,9,30,20,6.6,86,28
Ambaganctg,2008,10,1,0,8.9,83,28.7
Ambaganctg,2008,10,2,21,1.3,91,25.9
Ambaganctg,2008,10,3,15,8.9,84,27.9
Ambaganctg,2008,10,4,0,8.3,84,28.2
Ambaganctg,2008,10,5,0,4.7,85,27.8
Ambaganctg,2008,10,6,0,2.9,87,27.1
Ambaganctg,2008,10,7,59,5.9,89,27
Ambaganctg,2008,10,8,1,8.9,84,28
Ambaganctg,2008,10,9,0,9.6,84,28.3
Ambaganctg,2008,10,10,0,4,87,28
Ambaganctg,2008,10,11,0,9,84,28.7
Ambaganctg,2008,10,12,0,8.5,83,29.1
Ambaganctg,2008,10,13,0,7.4,84,28.9
Ambaganctg,2008,10,14,0,7.3,87,29.2
Ambaganctg,2008,10,15,0,9.3,82,29.9
Ambaganctg,2008,10,16,0,10.5,81,29.6
Ambaganctg,2008,10,17,0,10.5,75,29
Ambaganctg,2008,10,18,0,10.1,80,29.2
Ambaganctg,2008,10,19,0,10.4,76,29.5
Ambaganctg,2008,10,20,0,8.5,83,27.6
Ambaganctg,2008,10,21,0,6.9,85,28.2
Ambaganctg,2008,10,22,0,7.7,84,28.3
Ambaganctg,2008,10,23,0,1.1,86,27.1
Ambaganctg,2008,10,24,0,2.4,90,27
Ambaganctg,2008,10,25,34,0,95,24.2
Ambaganctg,2008,10,26,7,0.1,91,24.7
Ambaganctg,2008,10,27,24,1.6,92,24.5
Ambaganctg,2008,10,28,55,9.4,84,24.7
Ambaganctg,2008,10,29,0,10.2,84,24.7
Ambaganctg,2008,10,30,0,10.1,82,25.7
Ambaganctg,2008,10,31,0,9.9,79,26.3
Ambaganctg,2008,11,1,0,9.7,80,26
Ambaganctg,2008,11,2,0,8.6,83,25.6
Ambaganctg,2008,11,3,0,10.2,75,26.2
Ambaganctg,2008,11,4,0,0.1,90,24.9
Ambaganctg,2008,11,5,8,0,96,24.3
Ambaganctg,2008,11,6,35,9,83,26.4
Ambaganctg,2008,11,7,0,10,82,26.6
Ambaganctg,2008,11,8,0,9.9,79,25.5
Ambaganctg,2008,11,9,0,9.8,80,25.3
Ambaganctg,2008,11,10,0,10.1,80,24.9
Ambaganctg,2008,11,11,0,10.2,78,24.2
Ambaganctg,2008,11,12,0,9.8,77,23.8
Ambaganctg,2008,11,13,0,8.5,79,24
Ambaganctg,2008,11,14,0,7.7,83,23.4
Ambaganctg,2008,11,15,0,6.8,83,24.2
Ambaganctg,2008,11,16,0,3.2,79,25
Ambaganctg,2008,11,17,0,9.8,72,24.2
Ambaganctg,2008,11,18,0,10,71,23.1
Ambaganctg,2008,11,19,0,10,74,23.7
Ambaganctg,2008,11,20,0,10,79,24.3
Ambaganctg,2008,11,21,0,7.6,81,24.1
Ambaganctg,2008,11,22,0,8.4,80,24.1
Ambaganctg,2008,11,23,0,9.2,73,22.5
Ambaganctg,2008,11,24,0,9.5,79,21.5
Ambaganctg,2008,11,25,0,9.6,79,22
Ambaganctg,2008,11,26,0,9.3,82,22.6
Ambaganctg,2008,11,27,0,9.6,80,22.4
Ambaganctg,2008,11,28,0,9.6,82,22.1
Ambaganctg,2008,11,29,0,9.5,82,22.4
Ambaganctg,2008,11,30,0,9.2,81,23
Ambaganctg,2008,12,1,0,8.6,81,23.3
Ambaganctg,2008,12,2,0,8.6,83,22.9
Ambaganctg,2008,12,3,0,7.7,83,23
Ambaganctg,2008,12,4,0,7.2,83,22.7
Ambaganctg,2008,12,5,0,9,85,22.5
Ambaganctg,2008,12,6,0,8.2,80,23
Ambaganctg,2008,12,7,0,8.2,84,22.9
Ambaganctg,2008,12,8,0,7.2,82,23.9
Ambaganctg,2008,12,9,0,3.6,85,23.5
Ambaganctg,2008,12,10,0,7.1,86,23.3
Ambaganctg,2008,12,11,0,7.1,88,23
Ambaganctg,2008,12,12,0,7.4,84,23.1
Ambaganctg,2008,12,13,0,6.7,81,22.3
Ambaganctg,2008,12,14,0,8,78,21.8
Ambaganctg,2008,12,15,0,8.4,83,20.4
Ambaganctg,2008,12,16,0,6.3,91,19.3
Ambaganctg,2008,12,17,0,5.7,92,19.8
Ambaganctg,2008,12,18,0,6.3,88,20.8
Ambaganctg,2008,12,19,0,3.4,91,21.1
Ambaganctg,2008,12,20,0,3.8,91,21.2
Ambaganctg,2008,12,21,0,0,92,20
Ambaganctg,2008,12,22,0,0,91,19.5
Ambaganctg,2008,12,23,0,6.6,84,20.2
Ambaganctg,2008,12,24,0,6.1,82,20.4
Ambaganctg,2008,12,25,0,1.9,92,19.7
Ambaganctg,2008,12,26,0,5.8,83,19.7
Ambaganctg,2008,12,27,0,3.4,83,18.7
Ambaganctg,2008,12,28,0,2.8,83,19.4
Ambaganctg,2008,12,29,0,7.5,81,19.7
Ambaganctg,2008,12,30,0,8.5,75,20
Ambaganctg,2008,12,31,0,8.7,75,20
Ambaganctg,2009,1,1,0,8.4,67,20
Ambaganctg,2009,1,2,0,8.8,66,19.3
Ambaganctg,2009,1,3,0,9.3,69,18.8
Ambaganctg,2009,1,4,0,8.9,73,18.3
Ambaganctg,2009,1,5,0,7.3,75,18.4
Ambaganctg,2009,1,6,0,7.3,74,19.8
Ambaganctg,2009,1,7,0,7.9,74,20.6
Ambaganctg,2009,1,8,0,8.3,69,21.1
Ambaganctg,2009,1,9,0,7.8,69,21.7
Ambaganctg,2009,1,10,0,8.3,67,21.4
Ambaganctg,2009,1,11,0,7.9,65,20.9
Ambaganctg,2009,1,12,0,8.1,64,21.7
Ambaganctg,2009,1,13,0,8.9,71,20.3
Ambaganctg,2009,1,14,0,8.5,80,18.9
Ambaganctg,2009,1,15,0,7.9,81,18.3
Ambaganctg,2009,1,16,0,9,76,18.7
Ambaganctg,2009,1,17,0,8.5,74,19.5
Ambaganctg,2009,1,18,0,9.1,75,20.6
Ambaganctg,2009,1,19,0,5.5,77,21
Ambaganctg,2009,1,20,0,8.5,78,21
Ambaganctg,2009,1,21,0,7.8,67,20.8
Ambaganctg,2009,1,22,0,6,71,19.7
Ambaganctg,2009,1,23,0,5.4,80,20.3
Ambaganctg,2009,1,24,0,4.1,88,20.3
Ambaganctg,2009,1,25,0,3.9,87,20.9
Ambaganctg,2009,1,26,0,6.7,86,22
Ambaganctg,2009,1,27,0,7.3,86,22.8
Ambaganctg,2009,1,28,0,9.1,78,23.2
Ambaganctg,2009,1,29,0,8.6,55,22.9
Ambaganctg,2009,1,30,0,6.6,63,21
Ambaganctg,2009,1,31,0,6.6,66,21.4
Ambaganctg,2009,2,1,0,8.6,60,21.9
Ambaganctg,2009,2,2,0,9.4,53,21.1
Ambaganctg,2009,2,3,0,8.9,53,20.9
Ambaganctg,2009,2,4,0,8.4,59,21
Ambaganctg,2009,2,5,0,8.3,62,21.8
Ambaganctg,2009,2,6,0,8.5,64,22.8
Ambaganctg,2009,2,7,0,9.4,65,22.5
Ambaganctg,2009,2,8,0,9,55,22.9
Ambaganctg,2009,2,9,0,9.3,49,23.3
Ambaganctg,2009,2,10,0,9.5,54,23
Ambaganctg,2009,2,11,0,9.6,63,23.1
Ambaganctg,2009,2,12,0,3.7,70,22.3
Ambaganctg,2009,2,13,0,7.9,68,23.3
Ambaganctg,2009,2,14,0,9.4,61,23.2
Ambaganctg,2009,2,15,0,9.7,53,24.3
Ambaganctg,2009,2,16,0,9.9,48,24.4
Ambaganctg,2009,2,17,0,9.7,51,23.9
Ambaganctg,2009,2,18,0,9.9,55,23.9
Ambaganctg,2009,2,19,0,9.8,60,23.2
Ambaganctg,2009,2,20,0,9.7,48,24.2
Ambaganctg,2009,2,21,0,9.8,56,23.9
Ambaganctg,2009,2,22,0,9,72,23.9
Ambaganctg,2009,2,23,0,9.2,76,23.9
Ambaganctg,2009,2,24,0,5.9,77,24.9
Ambaganctg,2009,2,25,0,0.8,78,25.7
Ambaganctg,2009,2,26,0,5.1,81,26.3
Ambaganctg,2009,2,27,0,7.1,81,26.3
Ambaganctg,2009,2,28,0,6.2,81,26.3
Ambaganctg,2009,3,1,0,7.2,60,25.9
Ambaganctg,2009,3,2,0,9.9,52,25.7
Ambaganctg,2009,3,3,0,9.2,72,25.5
Ambaganctg,2009,3,4,0,7.5,81,26
Ambaganctg,2009,3,5,0,8.1,80,26.3
Ambaganctg,2009,3,6,0,8,78,27
Ambaganctg,2009,3,7,0,8.8,78,26.6
Ambaganctg,2009,3,8,0,9.3,76,27.2
Ambaganctg,2009,3,9,0,8.9,68,27.5
Ambaganctg,2009,3,10,0,6,55,28.1
Ambaganctg,2009,3,11,0,2.2,61,27.4
Ambaganctg,2009,3,12,0,4.7,69,25.9
Ambaganctg,2009,3,13,0,8,42,27.6
Ambaganctg,2009,3,14,0,6.4,55,26.6
Ambaganctg,2009,3,15,0,1.7,71,26.3
Ambaganctg,2009,3,16,0,0,69,26
Ambaganctg,2009,3,17,0,4.7,61,26.8
Ambaganctg,2009,3,18,0,6.8,62,27.2
Ambaganctg,2009,3,19,0,6.8,71,26.7
Ambaganctg,2009,3,20,0,8.6,80,26.7
Ambaganctg,2009,3,21,0,8,83,27.7
Ambaganctg,2009,3,22,0,8,74,27.4
Ambaganctg,2009,3,23,0,8.7,71,27.4
Ambaganctg,2009,3,24,0,9.2,63,28.4
Ambaganctg,2009,3,25,0,9.1,72,28.9
Ambaganctg,2009,3,26,0,4.5,79,26.4
Ambaganctg,2009,3,27,0,6,77,26.2
Ambaganctg,2009,3,28,2,8,79,27.4
Ambaganctg,2009,3,29,0,9.5,80,27.9
Ambaganctg,2009,3,30,0,7.9,81,28.3
Ambaganctg,2009,3,31,0,1.9,84,25.5
Ambaganctg,2009,4,1,45,9.8,77,27.3
Ambaganctg,2009,4,2,0,10.1,81,28.2
Ambaganctg,2009,4,3,0,9.3,81,28.2
Ambaganctg,2009,4,4,0,9.5,80,28.4
Ambaganctg,2009,4,5,0,9.4,76,28.9
Ambaganctg,2009,4,6,0,8.8,77,28.4
Ambaganctg,2009,4,7,0,9.3,80,28.8
Ambaganctg,2009,4,8,0,7.5,83,28.7
Ambaganctg,2009,4,9,0,8,75,29
Ambaganctg,2009,4,10,0,9,78,29.2
Ambaganctg,2009,4,11,0,8.6,81,29.7
Ambaganctg,2009,4,12,0,9.7,81,29.4
Ambaganctg,2009,4,13,0,10.3,79,29.4
Ambaganctg,2009,4,14,0,9.9,80,29.9
Ambaganctg,2009,4,15,0,10.9,76,30
Ambaganctg,2009,4,16,1,1.7,82,27.6
Ambaganctg,2009,4,17,1,0.3,91,26.3
Ambaganctg,2009,4,18,78,6.5,83,29.2
Ambaganctg,2009,4,19,0,4.5,80,30.1
Ambaganctg,2009,4,20,0,7.4,78,30
Ambaganctg,2009,4,21,0,7.6,80,29.9
Ambaganctg,2009,4,22,0,5.4,79,30.3
Ambaganctg,2009,4,23,0,4.7,82,30.1
Ambaganctg,2009,4,24,0,9.6,80,30.2
Ambaganctg,2009,4,25,0,9,77,30.4
Ambaganctg,2009,4,26,0,9.9,74,30.8
Ambaganctg,2009,4,27,0,9.8,78,29.7
Ambaganctg,2009,4,28,0,10.4,76,29.5
Ambaganctg,2009,4,29,0,9.9,74,29.2
Ambaganctg,2009,4,30,0,10.5,72,29.5
Ambaganctg,2009,5,1,0,9.3,76,29.2
Ambaganctg,2009,5,2,1,5.7,74,27.2
Ambaganctg,2009,5,3,71,5.3,81,25.7
Ambaganctg,2009,5,4,17,10.8,71,28.6
Ambaganctg,2009,5,5,0,9.3,78,29.4
Ambaganctg,2009,5,6,0,9.5,77,30
Ambaganctg,2009,5,7,0,9.1,78,30
Ambaganctg,2009,5,8,0,9.6,77,30.5
Ambaganctg,2009,5,9,0,9.9,76,30.5
Ambaganctg,2009,5,10,0,10.3,69,30.9
Ambaganctg,2009,5,11,1,7.5,64,29.3
Ambaganctg,2009,5,12,1,10.6,72,30.1
Ambaganctg,2009,5,13,0,9.6,68,29.8
Ambaganctg,2009,5,14,13,3,79,26.8
Ambaganctg,2009,5,15,1,9.8,64,29.9
Ambaganctg,2009,5,16,1,3.3,79,28.1
Ambaganctg,2009,5,17,2,7.1,77,29.7
Ambaganctg,2009,5,18,0,2.2,87,27.8
Ambaganctg,2009,5,19,16,8.6,80,30
Ambaganctg,2009,5,20,0,11.2,74,30.7
Ambaganctg,2009,5,21,0,11.3,73,30.4
Ambaganctg,2009,5,22,0,11.9,73,30
Ambaganctg,2009,5,23,0,9.4,77,29.5
Ambaganctg,2009,5,24,3,4.7,77,29.4
Ambaganctg,2009,5,25,42,0,92,25.6
Ambaganctg,2009,5,26,34,0.2,87,28.1
Ambaganctg,2009,5,27,155,4.7,85,29
Ambaganctg,2009,5,28,0,10.8,80,30.2
Ambaganctg,2009,5,29,0,9.3,79,30.5
Ambaganctg,2009,5,30,1,4.4,81,29.2
Ambaganctg,2009,5,31,1,0.1,88,28
Ambaganctg,2009,6,1,29,1.8,84,27
Ambaganctg,2009,6,2,2,2.4,88,26.3
Ambaganctg,2009,6,3,23,1.7,86,27.3
Ambaganctg,2009,6,4,11,10.2,84,28.6
Ambaganctg,2009,6,5,29,9.6,82,28.8
Ambaganctg,2009,6,6,11,4.8,86,28.2
Ambaganctg,2009,6,7,30,5.6,83,28.9
Ambaganctg,2009,6,8,42,0,87,26.3
Ambaganctg,2009,6,9,27,8.1,81,28.9
